gene,result,expression_change_percent,expression_change_log(FC),p_value,tissue,organism,sex,line,age,age_units,measurement_method,expression_evaluation_by,measurement_taken,duration,training_regimen,participants,experiment_groups_quantity,reference
CYP1B1,decrease,-18,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
DC13,increase,20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
DECR1,increase,14,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
DKFZP434K046,increase,14,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
DKFZp586C1924,increase,13,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
EIF2C4,increase,8,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ETFDH,increase,15,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FABP3,increase,27,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FKSG28,increase,23,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FLJ14624,decrease,-10,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FLJ20719,decrease,-7,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FLJ22490,decrease,-10,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FLJ30002,increase,25,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FLJ32384,increase,26,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FLJ32452,increase,19,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FLJ45459,increase,11,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FLJ90811,decrease,-5,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FLRT3,decrease,-20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
FOSL2,increase,16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
GPR49,decrease,-20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
H3F3B,decrease,-17,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
HBLD2,decrease,-12,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
HBXIP,increase,27,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
HCBP6,increase,9,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
HMGN2,decrease,-17,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
HPGD,decrease,-17,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
HSD11B1,decrease,-16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
HSHIN1,decrease,-16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
HSPC049,increase,16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
HSPC242,increase,35,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ITGB1BP2,increase,12,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
KCNJ16,decrease,-16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
KIAA1393,decrease,-19,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
KLF5,decrease,-20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
KRT10,increase,16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
Kua,increase,10,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LACE1,increase,13,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LACTB,decrease,-12,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LGI1,decrease,-17,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LGI4,increase,17,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC119710,increase,11,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC132671,decrease,-10,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC154467,increase,28,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC205251,increase,39,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC285556,increase,22,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC374821,increase,20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC375211,increase,32,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC376872,increase,24,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC378204,decrease,-24,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC391356,decrease,-8,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC51064,increase,36,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LOC91137,decrease,-11,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LRP1B,decrease,-19,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LTB4DH,increase,10,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
LYPLA1,decrease,-27,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
M6PRBP1,increase,16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MADHIP,increase,19,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MAPK8IP3,increase,20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MAPKAP1,decrease,-8,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MASK,decrease,-15,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MCTS1,increase,20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MEP50,increase,23,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MGC13057,increase,16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MGC16384,decrease,-19,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MGC21518,increase,12,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MGC24180,decrease,-15,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MGC3222,decrease,-14,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MGC45386,increase,16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MGC4825,increase,20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MGC61571,increase,13,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MGST2,increase,22,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MIPEP,increase,15,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MIZ1,decrease,-10,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MRPL13,increase,30,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MRPL34,increase,21,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MRPL35,increase,14,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MRPL41,increase,26,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MRPL49,decrease,-11,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MRPS16,increase,24,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MRPS28,increase,20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MRPS33,increase,31,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MRPS5,increase,20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MTO1,decrease,-7,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
MTX2,decrease,-10,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
NDUFB10,increase,29,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
NDUFB8,increase,34,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
NDUFS3,increase,15,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
NJMU-R1,increase,12,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
NUDT8,increase,23,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
OCRL,increase,8,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PAFAH1B3,increase,24,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PAQR9,increase,22,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PBEF1,decrease,-15,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PCNT2,decrease,-18,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PDE4A,increase,18,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PDE4B,decrease,-18,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PDHA1,increase,15,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PERP,decrease,-19,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PEX16,increase,11,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PKM2,increase,22,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
PLAG1,decrease,-9,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
